study_name,time,sample_number,total_krill_abundance,krill_abundance_16mm_to_20mm,krill_abundance_21mm_to_25mm,krill_abundance_26mm_to_30mm,krill_abundance_31mm_to_35mm,krill_abundance_36mm_to_40mm,krill_abundance_41mm_to_45mm,krill_abundance_46mm_to_50mm,krill_abundance_51mm_to_55mm,krill_abundance_56mm_to_60mm,krill_abundance_61mm_to_65mm
,UTC,,1,1,1,1,1,1,1,1,1,1,1
PAL9192,1992-01-15T00:00:00Z,25465,62,0,0,0,0,15,31,10,5,1,0
PAL9192,1992-01-15T00:00:00Z,25466,80,3,0,12,4,11,22,19,8,1,0
PAL9192,1992-01-15T00:00:00Z,25467,73,0,4,3,4,11,26,16,8,1,0
PAL9192,1992-01-15T00:00:00Z,25468,65,3,3,2,3,11,28,15,0,0,0
PAL9192,1992-01-15T00:00:00Z,25469,52,0,0,0,1,12,24,8,4,3,0
PAL9192,1992-01-20T00:00:00Z,25470,81,0,0,4,1,10,15,17,15,17,2
PAL9192,1992-01-20T00:00:00Z,25471,90,2,7,9,5,13,24,16,9,5,0
PAL9192,1992-01-20T00:00:00Z,25472,73,0,1,5,8,3,20,26,8,2,0
PAL9192,1992-01-20T00:00:00Z,25473,68,0,1,2,3,6,19,19,13,3,2
PAL9192,1992-01-20T00:00:00Z,25474,131,5,10,13,11,22,39,19,11,1,0
PAL9192,1992-01-25T00:00:00Z,25475,95,0,0,0,1,21,16,17,20,19,1
PAL9192,1992-01-25T00:00:00Z,25476,83,1,4,6,8,21,25,11,6,1,0
PAL9192,1992-01-25T00:00:00Z,25477,69,0,0,1,2,7,18,26,13,2,0
PAL9192,1992-01-25T00:00:00Z,25478,52,0,0,0,0,5,16,17,8,6,0
PAL9192,1992-01-25T00:00:00Z,25479,47,0,0,0,4,11,21,4,6,1,0
PAL9192,1992-01-30T00:00:00Z,25480,70,0,0,0,0,10,20,11,16,9,4
PAL9192,1992-01-30T00:00:00Z,25481,70,0,0,11,18,7,14,11,8,1,0
PAL9192,1992-01-30T00:00:00Z,25482,69,0,5,16,14,15,13,5,1,0,0
PAL9192,1992-01-30T00:00:00Z,25483,49,0,0,0,0,3,14,15,7,10,0
PAL9192,1992-01-30T00:00:00Z,25484,87,0,12,8,14,18,15,11,6,0,3
PAL9192,1992-02-04T00:00:00Z,25485,36,0,0,0,1,5,6,6,10,7,1
PAL9192,1992-02-04T00:00:00Z,25486,65,0,0,6,10,17,14,12,5,1,0
PAL9192,1992-02-04T00:00:00Z,25487,63,0,0,0,4,2,13,15,8,15,6
PAL9192,1992-02-04T00:00:00Z,25488,75,0,0,4,3,3,15,32,13,5,0
PAL9192,1992-02-04T00:00:00Z,25489,56,0,0,1,3,5,20,16,7,4,0
PAL9192,1992-02-09T00:00:00Z,25490,57,0,0,0,0,0,6,18,11,17,5
PAL9192,1992-02-09T00:00:00Z,25491,44,0,0,1,5,8,13,11,5,1,0
PAL9192,1992-02-09T00:00:00Z,25492,59,0,0,0,1,2,17,24,15,0,0
PAL9192,1992-02-09T00:00:00Z,25493,62,0,0,0,0,2,16,21,18,4,1
PAL9192,1992-02-09T00:00:00Z,25494,95,0,0,16,22,23,18,12,4,0,0
PAL9192,1992-02-14T00:00:00Z,25495,70,0,0,0,6,6,19,16,13,10,0
PAL9192,1992-02-14T00:00:00Z,25496,80,0,0,2,5,16,25,15,13,3,1
PAL9192,1992-02-14T00:00:00Z,25497,72,0,0,0,2,2,23,24,20,1,0
PAL9192,1992-02-14T00:00:00Z,25498,62,0,0,0,1,3,24,19,10,5,0
PAL9192,1992-02-14T00:00:00Z,25499,82,0,0,1,2,15,24,27,12,1,0
PAL9192,1992-02-19T00:00:00Z,25500,68,0,0,0,2,2,14,31,14,5,0
PAL9192,1992-02-19T00:00:00Z,25501,90,0,0,0,9,7,23,28,18,4,1
PAL9192,1992-02-19T00:00:00Z,25502,58,0,0,0,0,1,9,27,19,2,0
PAL9192,1992-02-19T00:00:00Z,25503,77,0,0,0,0,2,9,25,20,13,8
PAL9192,1992-02-19T00:00:00Z,25504,62,0,0,1,2,6,20,19,13,1,0
PAL9293,1993-01-11T00:00:00Z,26465,53,0,0,6,22,8,10,7,0,0,0
PAL9293,1993-01-11T00:00:00Z,26466,50,0,3,11,20,7,8,1,0,0,0
PAL9293,1993-01-11T00:00:00Z,26467,52,0,0,7,27,14,1,3,0,0,0
PAL9293,1993-01-11T00:00:00Z,26468,56,0,0,7,19,17,10,2,1,0,0
PAL9293,1993-01-11T00:00:00Z,26469,50,0,0,0,30,11,6,2,1,0,0
PAL9293,1993-01-19T00:00:00Z,26470,53,0,0,3,23,16,10,1,0,0,0
PAL9293,1993-01-19T00:00:00Z,26471,50,0,0,2,24,15,8,1,0,0,0
PAL9293,1993-01-19T00:00:00Z,26472,54,0,0,1,13,22,17,1,0,0,0
PAL9293,1993-01-19T00:00:00Z,26473,48,0,0,4,24,16,3,1,0,0,0
PAL9293,1993-01-19T00:00:00Z,26474,50,0,0,1,25,14,9,1,0,0,0
PAL9293,1993-01-23T00:00:00Z,26475,50,0,0,4,29,15,2,0,0,0,0
PAL9293,1993-01-23T00:00:00Z,26476,56,0,0,3,23,23,7,0,0,0,0
PAL9293,1993-01-23T00:00:00Z,26477,57,0,0,7,30,15,5,0,0,0,0
PAL9293,1993-01-23T00:00:00Z,26478,58,0,0,3,28,23,3,1,0,0,0
PAL9293,1993-01-23T00:00:00Z,26479,57,0,0,1,24,23,9,0,0,0,0
PAL9293,1993-01-30T00:00:00Z,26480,50,0,0,0,10,24,15,1,0,0,0
PAL9293,1993-01-30T00:00:00Z,26481,56,0,0,2,31,19,4,0,0,0,0
PAL9293,1993-01-30T00:00:00Z,26482,56,0,0,0,8,30,12,6,0,0,0
PAL9293,1993-01-30T00:00:00Z,26483,50,0,0,1,28,13,7,1,0,0,0
PAL9293,1993-01-30T00:00:00Z,26484,52,0,0,0,29,18,4,1,0,0,0
PAL9293,1993-02-04T00:00:00Z,26485,50,0,0,1,16,23,9,0,1,0,0
PAL9293,1993-02-04T00:00:00Z,26486,50,0,0,4,27,19,0,0,0,0,0
PAL9293,1993-02-04T00:00:00Z,26487,55,0,0,1,26,19,9,0,0,0,0
PAL9293,1993-02-04T00:00:00Z,26488,50,0,0,0,9,23,14,4,0,0,0
PAL9293,1993-02-04T00:00:00Z,26489,50,0,0,0,4,21,18,7,0,0,0
PAL9293,1993-02-09T00:00:00Z,26490,54,0,0,3,11,23,17,0,0,0,0
PAL9293,1993-02-09T00:00:00Z,26491,52,0,0,0,8,22,16,4,2,0,0
PAL9293,1993-02-09T00:00:00Z,26492,54,0,0,0,7,17,17,12,1,0,0
PAL9293,1993-02-09T00:00:00Z,26493,50,0,0,0,15,23,10,2,0,0,0
PAL9293,1993-02-09T00:00:00Z,26494,50,0,0,1,3,19,16,8,3,0,0
PAL9293,1993-02-14T00:00:00Z,26495,50,0,0,0,2,15,16,17,0,0,0
PAL9293,1993-02-14T00:00:00Z,26496,48,0,0,0,9,19,18,1,1,0,0
PAL9293,1993-02-14T00:00:00Z,26497,54,0,0,0,7,25,20,2,0,0,0
PAL9293,1993-02-14T00:00:00Z,26498,48,0,0,1,13,15,13,4,2,0,0
PAL9293,1993-02-14T00:00:00Z,26499,61,0,0,0,7,14,30,10,0,0,0
PAL9293,1993-02-19T00:00:00Z,26500,50,0,0,0,4,10,31,5,0,0,0
PAL9293,1993-02-19T00:00:00Z,26501,50,0,0,1,4,21,18,5,1,0,0
PAL9293,1993-02-19T00:00:00Z,26502,53,0,0,0,2,11,30,9,1,0,0
PAL9293,1993-02-19T00:00:00Z,26503,50,0,0,0,7,21,15,5,2,0,0
PAL9293,1993-02-19T00:00:00Z,26504,78,0,0,0,1,18,26,30,3,0,0
PAL9394,1994-01-11T00:00:00Z,27465,54,0,0,0,2,8,29,13,2,0,0
PAL9394,1994-01-11T00:00:00Z,27466,50,0,0,0,1,21,23,5,0,0,0
PAL9394,1994-01-11T00:00:00Z,27467,62,0,0,3,11,29,12,5,2,0,0
PAL9394,1994-01-11T00:00:00Z,27468,54,0,0,0,5,24,25,0,0,0,0
PAL9394,1994-01-11T00:00:00Z,27469,65,0,0,0,4,29,30,2,0,0,0
PAL9394,1994-01-16T00:00:00Z,27470,54,0,0,2,7,24,18,3,0,0,0
PAL9394,1994-01-16T00:00:00Z,27471,50,0,0,0,1,6,27,12,4,0,0
PAL9394,1994-01-16T00:00:00Z,27472,53,0,0,1,6,28,18,0,0,0,0
PAL9394,1994-01-16T00:00:00Z,27473,50,0,0,1,2,24,20,1,2,0,0
PAL9394,1994-01-16T00:00:00Z,27474,58,0,0,0,1,10,32,14,1,0,0
PAL9394,1994-01-21T00:00:00Z,27475,58,0,0,0,2,15,29,11,1,0,0
PAL9394,1994-01-21T00:00:00Z,27476,63,0,0,0,3,17,28,13,2,0,0
PAL9394,1994-01-21T00:00:00Z,27477,51,0,0,0,1,11,26,12,1,0,0
PAL9394,1994-01-21T00:00:00Z,27478,51,0,0,1,2,15,23,8,2,0,0
PAL9394,1994-01-21T00:00:00Z,27479,55,0,0,0,1,14,28,11,1,0,0
PAL9394,1994-01-26T00:00:00Z,27480,58,0,0,0,3,27,19,9,0,0,0
PAL9394,1994-01-26T00:00:00Z,27481,55,0,0,0,0,8,26,20,1,0,0
PAL9394,1994-01-26T00:00:00Z,27482,51,0,0,0,0,17,32,2,0,0,0
PAL9394,1994-01-26T00:00:00Z,27483,59,0,0,0,0,14,36,9,0,0,0
PAL9394,1994-01-26T00:00:00Z,27484,50,0,0,0,3,30,16,1,0,0,0
PAL9394,1994-02-01T00:00:00Z,27485,50,0,0,0,0,10,29,11,0,0,0
PAL9394,1994-02-01T00:00:00Z,27486,74,0,0,0,1,12,35,25,1,0,0
PAL9394,1994-02-01T00:00:00Z,27487,50,0,0,0,0,19,23,8,0,0,0
PAL9394,1994-02-01T00:00:00Z,27488,62,0,0,0,0,5,22,26,9,0,0
PAL9394,1994-02-01T00:00:00Z,27489,51,0,0,0,2,9,29,7,4,0,0
PAL9394,1994-02-07T00:00:00Z,27490,65,0,0,0,0,8,39,14,4,0,0
PAL9394,1994-02-07T00:00:00Z,27491,73,0,0,0,1,24,34,12,2,0,0
PAL9394,1994-02-07T00:00:00Z,27492,50,0,0,0,1,1,30,15,3,0,0
PAL9394,1994-02-07T00:00:00Z,27493,50,0,0,0,2,12,25,11,0,0,0
PAL9394,1994-02-07T00:00:00Z,27494,61,0,0,0,0,6,22,19,14,0,0
PAL9394,1994-02-13T00:00:00Z,27495,51,0,0,0,1,8,26,15,1,0,0
PAL9394,1994-02-13T00:00:00Z,27496,50,0,0,0,2,10,23,11,4,0,0
PAL9394,1994-02-13T00:00:00Z,27497,50,0,0,0,0,9,21,20,0,0,0
PAL9394,1994-02-13T00:00:00Z,27498,51,0,0,0,1,7,19,20,4,0,0
PAL9394,1994-02-13T00:00:00Z,27499,52,0,0,0,0,10,22,18,2,0,0
PAL9394,1994-02-18T00:00:00Z,27500,63,0,0,0,3,21,28,7,4,0,0
PAL9394,1994-02-18T00:00:00Z,27501,50,0,0,0,2,13,21,13,1,0,0
PAL9394,1994-02-18T00:00:00Z,27502,50,0,0,0,2,9,13,15,11,0,0
PAL9394,1994-02-18T00:00:00Z,27503,52,0,0,0,0,3,30,15,4,0,0
PAL9394,1994-02-18T00:00:00Z,27504,53,0,0,0,0,15,25,11,2,0,0
PAL9495,1995-01-11T00:00:00Z,28465,59,0,0,0,0,7,35,17,0,0,0
PAL9495,1995-01-11T00:00:00Z,28466,6,0,0,0,0,2,4,0,0,0,0
PAL9495,1995-01-11T00:00:00Z,28467,26,0,0,0,1,4,17,4,0,0,0
PAL9495,1995-01-11T00:00:00Z,28468,59,0,0,0,3,18,29,9,0,0,0
PAL9495,1995-01-11T00:00:00Z,28469,50,0,0,3,11,24,12,0,0,0,0
PAL9495,1995-01-17T00:00:00Z,28470,51,0,0,4,9,21,13,4,0,0,0
PAL9495,1995-01-17T00:00:00Z,28471,13,0,0,0,1,5,7,0,0,0,0
PAL9495,1995-01-17T00:00:00Z,28472,57,0,0,4,2,14,27,10,0,0,0
PAL9495,1995-01-17T00:00:00Z,28473,28,0,0,0,0,0,11,17,0,0,0
PAL9495,1995-01-17T00:00:00Z,28474,71,0,1,1,2,17,27,22,1,0,0
PAL9495,1995-01-22T00:00:00Z,28475,27,0,0,0,0,3,9,15,0,0,0
PAL9495,1995-01-22T00:00:00Z,28476,59,0,0,0,1,8,33,16,1,0,0
PAL9495,1995-01-22T00:00:00Z,28477,52,0,0,0,3,9,26,13,1,0,0
PAL9495,1995-01-22T00:00:00Z,28478,52,0,0,0,0,8,24,17,3,0,0
PAL9495,1995-01-22T00:00:00Z,28479,51,0,0,0,4,12,17,18,0,0,0
PAL9495,1995-01-27T00:00:00Z,28480,49,0,0,0,0,2,14,31,2,0,0
PAL9495,1995-01-27T00:00:00Z,28481,55,0,0,0,1,3,24,22,5,0,0
PAL9495,1995-01-27T00:00:00Z,28482,65,0,0,0,0,2,29,30,4,0,0
PAL9495,1995-01-27T00:00:00Z,28483,67,0,0,1,0,3,17,38,8,0,0
PAL9495,1995-01-27T00:00:00Z,28484,50,0,0,0,2,12,19,14,3,0,0
PAL9495,1995-02-02T00:00:00Z,28485,54,0,0,0,0,0,9,36,8,1,0
PAL9495,1995-02-02T00:00:00Z,28486,51,0,0,0,1,5,22,19,3,1,0
PAL9495,1995-02-02T00:00:00Z,28487,52,0,0,0,0,1,5,35,11,0,0
PAL9495,1995-02-02T00:00:00Z,28488,53,0,0,0,1,1,15,32,4,0,0
PAL9495,1995-02-02T00:00:00Z,28489,52,0,0,0,2,2,29,11,8,0,0
PAL9495,1995-02-06T00:00:00Z,28490,55,0,0,1,6,7,16,22,3,0,0
PAL9495,1995-02-06T00:00:00Z,28491,57,0,0,0,0,4,20,30,3,0,0
PAL9495,1995-02-06T00:00:00Z,28492,50,0,0,0,2,2,10,28,8,0,0
PAL9495,1995-02-06T00:00:00Z,28493,24,0,0,0,0,4,13,6,1,0,0
PAL9495,1995-02-06T00:00:00Z,28494,52,0,0,1,1,2,20,25,3,0,0
PAL9495,1995-02-13T00:00:00Z,28495,51,0,0,0,0,1,17,23,10,0,0
PAL9495,1995-02-13T00:00:00Z,28496,48,0,0,0,0,1,10,24,11,2,0
PAL9495,1995-02-13T00:00:00Z,28497,41,1,0,0,0,2,14,21,3,0,0
PAL9495,1995-02-13T00:00:00Z,28498,58,0,0,0,0,3,18,24,12,1,0
PAL9495,1995-02-13T00:00:00Z,28499,62,0,0,0,3,2,18,31,8,0,0
PAL9495,1995-02-18T00:00:00Z,28500,56,0,0,0,1,4,24,23,4,0,0
PAL9495,1995-02-18T00:00:00Z,28501,50,0,0,0,1,6,20,22,1,0,0
PAL9495,1995-02-18T00:00:00Z,28502,52,0,0,1,8,6,12,20,5,0,0
PAL9495,1995-02-18T00:00:00Z,28503,51,0,0,0,1,4,18,25,3,0,0
PAL9495,1995-02-18T00:00:00Z,28504,49,0,0,0,2,6,23,14,4,0,0
PAL9596,1996-01-11T00:00:00Z,29465,50,0,0,0,1,1,10,27,11,0,0
PAL9596,1996-01-11T00:00:00Z,29466,74,0,0,0,0,0,4,47,22,1,0
PAL9596,1996-01-11T00:00:00Z,29467,62,0,0,0,0,0,12,35,15,0,0
PAL9596,1996-01-11T00:00:00Z,29468,58,0,0,0,0,3,10,24,21,0,0
PAL9596,1996-01-11T00:00:00Z,29469,70,5,12,6,1,0,1,20,25,0,0
PAL9596,1996-01-16T00:00:00Z,29470,50,0,0,9,0,0,3,20,15,3,0
PAL9596,1996-01-16T00:00:00Z,29471,56,0,5,17,12,3,17,2,0,0,0
PAL9596,1996-01-16T00:00:00Z,29472,54,0,0,0,0,0,1,15,27,11,0
PAL9596,1996-01-16T00:00:00Z,29473,51,1,3,5,2,3,10,25,2,0,0
PAL9596,1996-01-16T00:00:00Z,29474,55,0,1,0,2,6,6,23,17,0,0
PAL9596,1996-01-22T00:00:00Z,29475,56,0,0,4,28,3,11,8,2,0,0
PAL9596,1996-01-22T00:00:00Z,29476,50,0,0,9,25,8,2,2,4,0,0
PAL9596,1996-01-22T00:00:00Z,29477,52,1,0,3,11,7,13,11,5,1,0
PAL9596,1996-01-22T00:00:00Z,29478,81,3,4,0,0,0,7,38,27,2,0
PAL9596,1996-01-22T00:00:00Z,29479,76,2,2,3,11,2,7,28,20,1,0
PAL9596,1996-01-27T00:00:00Z,29480,52,0,0,4,27,11,5,5,0,0,0
PAL9596,1996-01-27T00:00:00Z,29481,69,21,9,0,0,0,6,19,14,0,0
PAL9596,1996-01-27T00:00:00Z,29482,50,0,1,6,16,6,7,10,4,0,0
PAL9596,1996-01-27T00:00:00Z,29483,47,0,0,0,0,3,25,17,2,0,0
PAL9596,1996-01-27T00:00:00Z,29484,52,0,0,1,1,2,29,15,4,0,0
PAL9596,1996-02-01T00:00:00Z,29485,31,0,0,0,0,1,8,12,10,0,0
PAL9596,1996-02-01T00:00:00Z,29486,67,2,8,1,1,2,8,24,21,0,0
PAL9596,1996-02-01T00:00:00Z,29487,51,0,0,0,0,1,13,23,13,1,0
PAL9596,1996-02-01T00:00:00Z,29488,53,0,2,5,6,6,13,18,3,0,0
PAL9596,1996-02-01T00:00:00Z,29489,57,0,0,0,3,0,5,32,17,0,0
PAL9596,1996-02-06T00:00:00Z,29490,51,0,0,1,5,4,1,21,18,1,0
PAL9596,1996-02-06T00:00:00Z,29491,55,0,0,2,13,15,4,19,2,0,0
PAL9596,1996-02-06T00:00:00Z,29492,69,0,0,0,1,4,7,22,25,10,0
PAL9596,1996-02-06T00:00:00Z,29493,53,0,2,2,20,22,3,2,2,0,0
PAL9596,1996-02-06T00:00:00Z,29494,53,0,0,1,20,20,3,5,4,0,0
PAL9596,1996-02-11T00:00:00Z,29495,57,0,0,1,10,21,8,7,9,1,0
PAL9596,1996-02-11T00:00:00Z,29496,67,0,0,0,19,21,8,14,5,0,0
PAL9596,1996-02-11T00:00:00Z,29497,50,0,1,3,20,19,4,2,1,0,0
PAL9596,1996-02-11T00:00:00Z,29498,47,0,0,0,0,0,4,18,16,9,0
PAL9596,1996-02-11T00:00:00Z,29499,52,0,2,6,13,19,6,4,2,0,0
PAL9596,1996-02-17T00:00:00Z,29500,52,0,0,0,14,21,4,6,7,0,0
PAL9596,1996-02-17T00:00:00Z,29501,6,0,0,0,0,1,1,2,2,0,0
PAL9596,1996-02-17T00:00:00Z,29502,73,5,0,7,17,9,4,13,15,3,0
PAL9596,1996-02-17T00:00:00Z,29503,53,0,0,4,10,17,3,11,5,3,0
PAL9596,1996-02-17T00:00:00Z,29504,77,0,0,0,4,16,8,28,19,2,0
PAL9697,1997-01-06T00:00:00Z,30465,56,0,4,24,23,4,1,0,0,0,0
PAL9697,1997-01-06T00:00:00Z,30466,79,0,2,13,45,18,1,0,0,0,0
PAL9697,1997-01-06T00:00:00Z,30467,65,2,3,19,20,17,4,0,0,0,0
PAL9697,1997-01-06T00:00:00Z,30468,68,1,0,8,38,18,3,0,0,0,0
PAL9697,1997-01-06T00:00:00Z,30469,58,0,8,21,24,4,1,0,0,0,0
PAL9697,1997-01-11T00:00:00Z,30470,98,0,1,11,46,31,8,1,0,0,0
PAL9697,1997-01-11T00:00:00Z,30471,82,0,7,8,34,13,12,4,4,0,0
PAL9697,1997-01-11T00:00:00Z,30472,54,1,2,11,28,10,2,0,0,0,0
PAL9697,1997-01-11T00:00:00Z,30473,87,0,3,13,32,17,10,7,4,1,0
PAL9697,1997-01-11T00:00:00Z,30474,57,0,1,11,37,8,0,0,0,0,0
PAL9697,1997-01-16T00:00:00Z,30475,62,0,0,2,36,21,3,0,0,0,0
PAL9697,1997-01-16T00:00:00Z,30476,63,0,1,6,30,24,2,0,0,0,0
PAL9697,1997-01-16T00:00:00Z,30477,50,0,0,4,33,10,3,0,0,0,0
PAL9697,1997-01-16T00:00:00Z,30478,54,0,2,4,14,21,12,1,0,0,0
PAL9697,1997-01-16T00:00:00Z,30479,87,0,0,3,29,41,12,2,0,0,0
PAL9697,1997-01-21T00:00:00Z,30480,56,0,0,4,26,23,3,0,0,0,0
PAL9697,1997-01-21T00:00:00Z,30481,73,0,1,18,43,11,0,0,0,0,0
PAL9697,1997-01-21T00:00:00Z,30482,63,0,5,11,35,11,0,1,0,0,0
PAL9697,1997-01-21T00:00:00Z,30483,76,0,5,11,41,14,4,1,0,0,0
PAL9697,1997-01-21T00:00:00Z,30484,120,0,8,8,47,31,18,8,0,0,0
PAL9697,1997-01-26T00:00:00Z,30485,57,0,3,3,18,14,18,1,0,0,0
PAL9697,1997-01-26T00:00:00Z,30486,63,0,5,13,21,18,6,0,0,0,0
PAL9697,1997-01-26T00:00:00Z,30487,88,0,8,22,38,14,2,3,1,0,0
PAL9697,1997-01-26T00:00:00Z,30488,50,1,14,5,10,12,5,2,1,0,0
PAL9697,1997-01-26T00:00:00Z,30489,86,0,9,19,30,23,4,1,0,0,0
PAL9697,1997-01-31T00:00:00Z,30490,66,0,8,3,37,12,6,0,0,0,0
PAL9697,1997-01-31T00:00:00Z,30491,73,0,6,1,24,22,16,4,0,0,0
PAL9697,1997-01-31T00:00:00Z,30492,106,0,1,10,40,42,10,3,0,0,0
PAL9697,1997-01-31T00:00:00Z,30493,110,1,6,12,55,22,10,4,0,0,0
PAL9697,1997-01-31T00:00:00Z,30494,70,0,0,4,36,21,9,0,0,0,0
PAL9697,1997-02-05T00:00:00Z,30495,76,0,5,11,37,19,4,0,0,0,0
PAL9697,1997-02-05T00:00:00Z,30496,57,0,0,3,2,16,24,10,1,1,0
PAL9697,1997-02-05T00:00:00Z,30497,52,0,4,4,33,3,7,1,0,0,0
PAL9697,1997-02-05T00:00:00Z,30498,55,0,0,1,15,12,17,10,0,0,0
PAL9697,1997-02-05T00:00:00Z,30499,71,0,0,1,4,21,18,20,7,0,0
PAL9697,1997-02-10T00:00:00Z,30500,60,0,0,0,13,24,20,3,0,0,0
PAL9697,1997-02-10T00:00:00Z,30501,56,2,6,8,28,11,0,1,0,0,0
PAL9697,1997-02-10T00:00:00Z,30502,80,0,2,6,28,27,15,2,0,0,0
PAL9697,1997-02-10T00:00:00Z,30503,102,0,3,10,28,38,18,5,0,0,0
PAL9697,1997-02-10T00:00:00Z,30504,73,0,0,5,32,25,7,4,0,0,0
PAL9697,1997-02-15T00:00:00Z,30505,78,0,0,8,34,27,6,2,1,0,0
PAL9697,1997-02-15T00:00:00Z,30506,65,0,0,1,14,21,22,7,0,0,0
PAL9697,1997-02-15T00:00:00Z,30507,55,0,0,6,31,12,6,0,0,0,0
PAL9697,1997-02-15T00:00:00Z,30508,83,0,0,2,28,35,15,3,0,0,0
PAL9697,1997-02-15T00:00:00Z,30509,78,0,1,4,33,20,16,4,0,0,0
PAL9798,1998-01-06T00:00:00Z,31465,111,0,0,13,42,38,8,9,1,0,0
PAL9798,1998-01-06T00:00:00Z,31466,64,0,0,1,17,31,15,0,0,0,0
PAL9798,1998-01-06T00:00:00Z,31467,62,0,0,10,23,26,3,0,0,0,0
PAL9798,1998-01-06T00:00:00Z,31468,53,0,0,8,23,22,0,0,0,0,0
PAL9798,1998-01-06T00:00:00Z,31469,79,0,0,34,39,6,0,0,0,0,0
PAL9798,1998-01-11T00:00:00Z,31470,91,0,0,5,43,29,12,2,0,0,0
PAL9798,1998-01-11T00:00:00Z,31471,53,0,1,11,16,16,8,1,0,0,0
PAL9798,1998-01-11T00:00:00Z,31472,60,1,0,9,21,24,5,0,0,0,0
PAL9798,1998-01-11T00:00:00Z,31473,53,0,0,8,19,18,7,1,0,0,0
PAL9798,1998-01-11T00:00:00Z,31474,68,0,0,7,35,21,5,0,0,0,0
PAL9798,1998-01-16T00:00:00Z,31475,78,0,2,11,47,16,1,1,0,0,0
PAL9798,1998-01-16T00:00:00Z,31476,63,0,0,2,21,34,6,0,0,0,0
PAL9798,1998-01-16T00:00:00Z,31477,50,0,0,5,34,10,1,0,0,0,0
PAL9798,1998-01-16T00:00:00Z,31478,60,0,0,1,12,38,8,1,0,0,0
PAL9798,1998-01-16T00:00:00Z,31479,83,0,1,2,40,32,8,0,0,0,0
PAL9798,1998-01-21T00:00:00Z,31480,83,0,0,7,17,36,21,2,0,0,0
PAL9798,1998-01-21T00:00:00Z,31481,103,0,2,1,33,51,13,3,0,0,0
PAL9798,1998-01-21T00:00:00Z,31482,103,0,0,2,29,54,13,4,1,0,0
