time,sample_weight,e_superba_weight,e_superba_count,t_macrura_weight,t_macrura_count
10/02/2001,326,636,926,0,0
10/02/2001,223,542,326,0,0
10/02/2001,176,315,223,0,0
10/02/2001,241,238,740,0,0
10/02/2001,146,846,135,0,0
15/02/2001,275,425,403,0,0
15/02/2001,314,618,356,0,0
15/02/2001,173,334,194,0,0
15/02/2001,240,288,351,0,0
15/02/2001,302,352,384,0,0
5/12/2001,37,47,112,0,0
5/12/2001,74,85,288,0,0
5/12/2001,0,0,0,0,0
5/12/2001,33,33,64,0,0
28/12/2001,262,296,636,0,0
28/12/2001,151,146,211,0,0
28/12/2001,115,185,228,0,0
28/12/2001,30,17,34,0,0
28/12/2001,126,137,216,0,0
7/01/2002,0,0,0,0,0
7/01/2002,368,368,1147,0,0
7/01/2002,241,295,874,0,0
7/01/2002,167,223,485,0,0
7/01/2002,170,330,680,0,0
15/01/2002,226,225,1374,0,0
15/01/2002,197,442,847,0,0
15/01/2002,115,225,164,0,0
15/01/2002,365,363,747,0,0
15/01/2002,323,372,1002,0,0
21/01/2002,85,356,117,0,0
21/01/2002,84,71,101,3,18
21/01/2002,156,471,187,0,0
21/01/2002,237,807,487,0,0
21/01/2002,116,191,253,0,0
31/01/2002,173,320,435,0,0
31/01/2002,213,102,150,0,0
31/01/2002,256,383,434,0,0
31/01/2002,112,45,45,2,12
31/01/2002,265,248,260,8,48
9/02/2002,153,17,7,0,0
9/02/2002,495,325,438,0,0
9/02/2002,216,293,126,0,0
9/02/2002,261,526,891,0,0
9/02/2002,485,357,1014,0,0
22/02/2002,120,96,309,3,18
22/02/2002,0,40,0,0,0
22/02/2002,245,240,620,0,0
10/12/2002,105,190,427,0,0
10/12/2002,194,303,679,0,0
10/12/2002,58,128,286,0,0
10/12/2002,146,220,646,0,0
10/12/2002,72,99,293,0,0
22/12/2002,74,73,236,0,0
22/12/2002,0,0,0,0,0
22/12/2002,34,34,151,0,0
22/12/2002,53,63,166,0,0
22/12/2002,195,275,912,0,0
29/12/2002,159,249,512,0,0
29/12/2002,154,154,698,0,0
29/12/2002,22,147,130,0,0
29/12/2002,140,155,675,0,0
29/12/2002,151,216,628,0,0
5/01/2003,149,174,496,0,0
5/01/2003,337,542,1380,0,0
5/01/2003,165,273,375,1,1
5/01/2003,236,236,1390,0,0
5/01/2003,182,292,987,0,0
15/01/2003,191,306,947,0,0
15/01/2003,177,176,551,0,0
15/01/2003,195,320,827,0,0
15/01/2003,368,548,910,0,0
27/01/2003,104,103,385,0,0
27/01/2003,215,300,820,0,0
27/01/2003,83,173,367,0,0
27/01/2003,214,522,890,0,0
27/01/2003,80,186,319,0,0
10/02/2003,352,352,1108,0,0
10/02/2003,179,264,506,0,0
10/02/2003,202,302,502,0,0
10/02/2003,60,60,124,0,0
15/01/2004,248,458,826,0,0
15/01/2004,147,242,462,0,0
15/01/2004,180,180,530,0,0
15/01/2004,82,252,272,0,0
15/01/2004,219,354,1186,0,0
25/01/2004,312,342,1005,0,0
25/01/2004,89,89,247,0,0
25/01/2004,78,78,275,0,0
25/01/2004,153,298,430,0,0
25/01/2004,138,198,762,0,0
5/02/2004,221,311,593,0,0
5/02/2004,101,247,273,2,0
5/02/2004,160,441,275,0,0
5/02/2004,262,337,661,0,0
5/02/2004,79,149,159,10,0
12/01/2005,299,299,526,0,0
12/01/2005,217,426,484,0,0
12/01/2005,205,445,459,0,0
12/01/2005,179,274,381,0,0
12/01/2005,249,354,488,0,0
21/01/2005,193,421,404,0,0
21/01/2005,231,392,441,0,0
21/01/2005,198,198,381,0,0
21/01/2005,148,378,317,0,0
21/01/2005,161,161,316,0,0
1/02/2005,255,252,564,0,0
1/02/2005,157,222,353,0,0
1/02/2005,268,663,549,0,0
1/02/2005,163,53,106,107,0
1/02/2005,146,315,219,0,0
27/12/2005,0,0,0,0,0
27/12/2005,143,20,25,123,0
27/12/2005,291,148,228,143,0
27/12/2005,249,171,264,74,0
27/12/2005,150,149,234,0,0
27/12/2005,177,172,247,0,0
11/01/2006,228,228,341,0,0
11/01/2006,196,196,247,0,0
11/01/2006,216,7,6,208,0
11/01/2006,129,129,195,0,0
11/01/2006,172,170,328,0,0
25/01/2006,160,0,0,160,0
25/01/2006,300,0,0,300,0
30/01/2006,115,104,104,0,0
30/01/2006,135,126,159,8,0
6/01/2007,132.7,132.7,454,0,0
6/01/2007,134.1,134.1,500,0,0
6/01/2007,219.2,219.2,1218,0,0
6/01/2007,225.7,225.7,1918,0,0
6/01/2007,69.1,69.1,104,0,0
13/01/2007,179,179,585,0,0
13/01/2007,188,188,686,0,0
13/01/2007,205.6,205.6,554,0,0
13/01/2007,188.8,188.8,458,0,0
13/01/2007,219.2,218.2,736,0,0
19/01/2007,199.5,199.5,326,0,0
19/01/2007,163.2,163.2,394,0,0
19/01/2007,147.3,147.3,424,0,0
19/01/2007,296.5,296.5,1009,0,0
19/01/2007,107.6,106.6,322,0,0
26/01/2007,279.3,279.3,965,0,0
26/01/2007,276.1,276.1,365,0,0
26/01/2007,96.2,96.2,107,0,0
26/01/2007,258.7,257.5,494,0,0
26/01/2007,237.8,237.8,748,0,0
2/02/2007,301.8,301.8,1215,0,0
2/02/2007,362.5,362.5,736,0,0
2/02/2007,184.1,184.1,398,0,0
2/02/2007,197.4,197.4,317,0,0
2/02/2007,239.1,239.1,539,0,0
4/01/2008,225.8,215.8,729,0,0
4/01/2008,132.4,132.4,257,0,0
4/01/2008,228.8,152.8,438,0,0
4/01/2008,137,137,383,0,0
4/01/2008,185.9,185.9,491,0,0
11/01/2008,244.9,226.9,911,0,0
11/01/2008,252.1,251.1,969,0,0
11/01/2008,192.9,192.9,780,0,0
11/01/2008,331.7,276.7,859,0,0
11/01/2008,159.2,159.2,555,0,0
18/01/2008,202.5,202.5,904,0,0
18/01/2008,167.5,167.5,344,0,0
18/01/2008,377.9,376.9,1461,0,0
18/01/2008,398.2,193.2,748,0,0
18/01/2008,153.5,117.5,302,0,0
27/01/2008,213.9,213.9,902,0,0
27/01/2008,181.6,181.6,499,0,0
27/01/2008,218.7,218.7,650,0,0
27/01/2008,348.2,227.2,563,0,0
27/01/2008,140.9,139.9,369,0,0
2/02/2008,430.7,224.7,877,0,0
2/02/2008,214.6,153.6,549,0,0
2/02/2008,153.3,153.3,529,0,0
2/02/2008,182.5,96.5,214,0,0
2/02/2008,308.9,253.9,887,0,0
7/01/2009,180.4,180.4,747,0,0
7/01/2009,182.7,161.7,408,0,0
19/01/2009,318.6,318.6,693,0,0
19/01/2009,3.7,3.7,16,0,0
19/01/2009,145.5,145.5,215,0,0
19/01/2009,232.5,232.5,483,0,0
19/01/2009,264,263,980,0,0
26/01/2009,75.4,75.4,173,0,0
26/01/2009,150.1,150.1,374,0,0
26/01/2009,24.8,24.8,84,0,0
26/01/2009,78.9,78.9,213,0,0
26/01/2009,137.3,137.3,335,0,0
2/02/2009,174.3,174.3,457,0,0
2/02/2009,224.8,224.8,346,0,0
2/02/2009,86.8,86.8,166,0,0
2/02/2009,79.6,79.6,125,0,0
2/02/2009,99.6,98.6,215,0,0
3/01/2010,87,86,212,0,0
3/01/2010,100,130,205,0,0
3/01/2010,70,69,115,0,0
12/01/2010,103,183,329,0,0
12/01/2010,91,91,169,0,0
12/01/2010,224,247,468,2,10
12/01/2010,156,204,308,0,0
12/01/2010,116,141,407,0,0
19/01/2010,258,282,458,0,0
19/01/2010,253,342,397,0,0
19/01/2010,91,152,159,0,0
19/01/2010,318,342,477,0,0
19/01/2010,331,475,548,0,0
26/01/2010,209,209,351,0,0
26/01/2010,216,253,362,0,0
26/01/2010,162,208,272,18,90
26/01/2010,77,147,186,0,0
26/01/2010,202,201,388,0,0
4/02/2010,205,304,641,1,NaN
4/02/2010,348,348,697,0,0
4/02/2010,267,386,592,0,0
4/02/2010,246,371,470,0,0
4/02/2010,104,103,195,0,0
1/01/2011,324,162,507,162,2464
1/01/2011,422,7,8,174,1392
1/01/2011,311,8.1,14,302,2416
1/01/2011,259,30,54,229,1832
1/01/2011,241,240,248,0,0
7/01/2011,193,11,12,183,1464
7/01/2011,205,203,148,0,0
7/01/2011,304,8,12,295,2360
7/01/2011,326,325,1005,0,0
7/01/2011,151,148,467,1,8
15/01/2011,282,282,2209,0,0
15/01/2011,119,119,534,0,0
15/01/2011,272,215,263,57,456
15/01/2011,214,213,596,0,0
15/01/2011,194,194,360,0,0
21/01/2011,200.7,43.6,108,157.1,1256.8
21/01/2011,324,82,97,241,1928
21/01/2011,197,177,778,20,160
21/01/2011,212,26.7,170,175.3,1402.4
21/01/2011,192,192,397,0,0
27/01/2011,264,264,323,0,0
27/01/2011,89,33,43,54,432
27/01/2011,105,104,145,0,0
27/01/2011,397,395,849,0,0
27/01/2011,237,127,142,108,864
8/01/2012,107,107,309,0,0
8/01/2012,125,157,222,0,0
8/01/2012,104,103,307,0,0
8/01/2012,129,128,299,0,0
8/01/2012,84,84,147,0,0
19/01/2012,96,96,246,0,0
19/01/2012,110,110,277,0,0
19/01/2012,140,141,409,0,0
19/01/2012,63,63,165,0,0
19/01/2012,61,60,610,0,0
26/01/2012,216,215,462,0,0
26/01/2012,121,120,1659,0,0
26/01/2012,135,133,489,0,0
26/01/2012,132,132,373,0,0
26/01/2012,107,106,405,0,0
3/01/2013,199,199,1089,0,0
3/01/2013,188,188,1102,0,0
3/01/2013,177.8,177.8,1266,0,0
3/01/2013,212,187,1206,0,0
3/01/2013,30,30,30,0,0
9/01/2013,177,175,993,0,0
9/01/2013,93,93,584,0,0
9/01/2013,144,144,642,0,0
9/01/2013,217,217,1206,0,0
9/01/2013,257,257,843,0,0
16/01/2013,178,178,858,0,0
16/01/2013,182,182,987,0,0
16/01/2013,240,239,1221,0,0
16/01/2013,158,158,909,0,0
16/01/2013,138,137,732,0,0
23/01/2013,109.3,109.3,510,0,0
23/01/2013,109.6,109.6,418,0,0
23/01/2013,363,363,1866,0,0
23/01/2013,363.5,362.5,1147,0,0
23/01/2013,328.7,328.7,1713,0,0
28/01/2013,220,220,1057,0,0
28/01/2013,279.2,278.2,1372,0,0
28/01/2013,232.7,232.7,1157,0,0
28/01/2013,291,291,1344,0,0
28/01/2013,328,327,1399,0,0
6/01/2014,0,0,0,0,0
6/01/2014,0,0,0,0,0
6/01/2014,0,0,0,0,0
6/01/2014,65.96,64.96,49,0,0
16/01/2014,170.22,169.22,276,0,0
16/01/2014,148,148,556,0,0
16/01/2014,32.87,31.8,47,0,0
16/01/2014,107.25,106.25,187,0,0
16/01/2014,86,86,NaN,0,0
22/01/2014,26.06,25.06,52,0,0
22/01/2014,244.81,244.81,448,0,0
22/01/2014,86.47,85.47,150,0,0
22/01/2014,154.9,153.9,437,0,0
22/01/2014,203,201,444,0,0
27/01/2014,109,109,164,0,0
27/01/2014,69.36,69.36,172,0,0
27/01/2014,120.4,120.4,589,0,0
27/01/2014,184,184,521,0,0
27/01/2014,151.84,151.84,279,0,0
1/02/2014,168.73,168.73,608,0,0
1/02/2014,197,197,362,0,0
1/02/2014,219.11,218,339,0,0
1/02/2014,116.2,116.2,343,0,0
1/02/2014,156.6,156.6,465,0,0
3/01/2015,229.8,274.8,426,0,0
3/01/2015,99.4,99.4,277,0,0
3/01/2015,129,289,805,0,0
3/01/2015,207,207,451,0,0
3/01/2015,199.7,199.7,373,0,0
11/01/2015,23.9,23.9,67,0,0
11/01/2015,128.5,203.5,581,0,0
11/01/2015,106,166,377,0,0
11/01/2015,169.8,169.8,326,0,0
11/01/2015,97.8,97.8,195,0,0
18/01/2015,327.3,397.3,796,0,0
18/01/2015,236.5,236.5,415,0,0
18/01/2015,145.5,240.5,387,0,0
18/01/2015,263.1,378.1,707,0,0
18/01/2015,185.5,245.5,444,0,0
26/01/2015,194.6,194.6,388,0,0
26/01/2015,470.7,469.4,856,0,0
26/01/2015,179.2,179.2,298,0,0
26/01/2015,286.5,93.1,155,193.4,4255
26/01/2015,293,337,716,0,0
3/02/2015,376.6,376.6,511,0,0
3/02/2015,155.6,142.4,213,12.2,440
3/02/2015,264.5,264.5,397,0,0
3/02/2015,57.6,56.6,83,0,0
3/02/2015,65.7,64.7,119,0,0
9/02/2015,422.7,422.7,732,0,0
9/02/2015,180.2,180.2,258,0,0
6/01/2016,129.7,128.7,167,0,0
6/01/2016,69.34,69.34,88,0,0
6/01/2016,97.2,97.2,153,0,0
6/01/2016,59.09,58.09,94,0,0
6/01/2016,32.5,32.5,NaN,0,0
12/01/2016,59.38,59.38,97,0,0
12/01/2016,147.2,145.2,183,0,0
12/01/2016,113.37,113.37,159,0,0
12/01/2016,314.2,313.2,535,0,0
12/01/2016,130.85,129.85,216,0,0
18/01/2016,194.25,193.25,297,0,0
18/01/2016,153.98,152.98,239,0,0
18/01/2016,115.82,112.02,162,0,0
18/01/2016,182.29,181.29,381,0,0
18/01/2016,310.5,309.5,549,0,0
25/01/2016,204.34,201.69,573,1,8
25/01/2016,140.2,139.2,220,0,0
25/01/2016,138.82,137.82,208,0,0
25/01/2016,145.11,52.77,65,91.34,2421
25/01/2016,174.38,167.56,206,4.82,155
5/01/2017,69.76,68.76,146,0,0
5/01/2017,202.9,202.9,340,0,0
5/01/2017,113.86,113.86,232,0,0
5/01/2017,167,166,815,0,0
5/01/2017,309.6,308.6,571,0,0
10/01/2017,227.12,227.12,343,0,0
10/01/2017,178.26,178.26,424,0,0
10/01/2017,177,177,290,0,0
10/01/2017,137.2,136.2,192,0,0
10/01/2017,90,89,169,0,0
15/01/2017,211.95,211.95,421,0,0
15/01/2017,252.05,162.4,280,88.65,709
15/01/2017,185.43,46.72,95,138.71,1110
15/01/2017,56.27,56.27,67,0,0
15/01/2017,174.85,166.65,288,0,0
22/01/2017,166.58,165.58,232,0,0
22/01/2017,158.78,158.78,253,0,0
22/01/2017,89,82,137,0,0
22/01/2017,128.88,128.88,190,0,0
22/01/2017,49.86,11.59,77,0,0
3/01/2018,205.9,204.9,439,0,0
3/01/2018,166.3,166.3,462,0,0
3/01/2018,239.9,239.9,429,0,0
3/01/2018,149.5,149.5,563,0,0
3/01/2018,188.6,187.6,517,0,0
8/01/2018,154.36,154.36,436,0,0
8/01/2018,365.32,365.32,659,0,0
8/01/2018,114.16,114.16,311,0,0
8/01/2018,156.4,156.4,728,0,0
8/01/2018,115.1,115.1,519,0,0
15/01/2018,463.93,463.93,1122,0,0
15/01/2018,143.5,143.5,387,0,0
15/01/2018,129.7,129.7,631,0,0
15/01/2018,228.7,228.2,755,0,0
15/01/2018,213.54,213.54,535,0,0
23/01/2018,169.3,169.3,409,0,0
23/01/2018,227.62,226.62,471,0,0
23/01/2018,189.06,189.06,553,0,0
23/01/2018,251.6,251.6,881,0,0
23/01/2018,168.93,167.93,450,0,0
29/01/2018,104.33,104.33,497,0,0
29/01/2018,110.97,110.97,282,0,0
29/01/2018,72.3,70.2,245,0,0
29/01/2018,296.5,295.5,881,0,0
29/01/2018,187.2,186.2,556,0,0
